text,star
중간정도까지만 조금재밋다가 .. 후반으로갈수록 지루함졸림... 평보고 봣다가 낚임.. 기대이하..노잼,0
신나게 달리고 삐끗하지 않는다. 끝까지 잘 달린다. 끝나면 약간 허탈한 것은 있지만..^^,1
진짜 후회안합니다 꿀잼,1
재밌어요 또보진않겓ㅅ지만,1
주변에서 본다고 하면 말리고싶은 영화,0
재밌네요. 전체 시간중 4/5 는 웃음으로 채웠네요.,1
진선규 동룡이 연기 잘 봤어요.중간에 격투신에서 조금 지루했지만 적재적소에 터지는 웃음과 유우머 덕분에 즐겁게 관람했습니다. 생각없이 보기 좋아요. 젊은사람들보다 어른들이 더 좋아하시는듯해요,1
솔직히 볼만한데영화끝나고나올때다들재밌다고하던데,1
딴말 필요없다 조온나 노잼,0
너모재미쪄용히히히호호,1
리얼 = 인랑 = 클레멘타인,0
진심 넘 이해안감 이런 3류 영화를 재밌다고 ?,0
영화보면 일반인들은 너무나 잘 살고 있네요,0
대체 이 영화가 왜 9.3이지?? 요근래 본 영화중손에 꼽을 정도로 재미없음... 출발 비디오 여행에서 나온 예고편이 이 영화의 전부임. 보고나면 남는것도 없고 그냥 가끔 피식대는걸로 끝나는.. 그야말로 지루하기 짝이없는 영화,1
아~~~진심대박!!!진짜 잼나요^^,1
비주얼 완전 대박인듯.. 무조건 극장 가서 보세요...!!,1
이건 정말 좋습니다 .. ㅠㅠ 왜들 평점을 낮게 주는지 모르겠음,1
ㆍ좋은영화 편하게 결제하고 편하게 재미나게 봤습니다 감사해요,1
진짜 엄청 웃고 갑니다 너무 재밌어요,1
와...시간가는줄도 모르고 봄ㅎㅎ오버스럽고 억지로 웃기려고는 하지만 그게 그냥 웃김,1
재밌게 봤습니다. 웃긴데 연기도 좋아서즐겁게 봤네요.,1
언젠가부터 한국영화의 문제점. 헐리우드 따라가려고 스토리 다 잡아먹는다. 특수효과와 돈OO은 30분만 보여줘도 된다. 극내내 피날레만 있으면 피날레의 의미가 무엇인가. 성공한 영화들은 주연이 무색 할 정도로 옆집 꼬마 조차 사랑받는다.,0
류승룡 안죽어~!!!,1
